pass1_rank,candidate_id,pass1_score,professional_band,band_id,subtype,current_title,years_experience,current_company,location,open_to_work,days_since_active,response_rate,notice_period_days,willing_to_relocate,retrieval_raw,ranking_raw,evaluation_raw,production_raw,ownership_raw,skill_corroboration,positive_evidence,negative_evidence,risk_flags
1,CAND_0077337,530.060000,senior_relevance_owner,5,search_ranking,Staff Machine Learning Engineer,7.0,Paytm,"Kochi, Kerala",True,6,0.950,60,True,1.0614,3.4400,2.7607,4.1521,3.3158,1.9500,"Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months. | Semantic Search assessment 63.2/100",,weak:repeated_role_description
2,CAND_0011687,530.012000,senior_relevance_owner,5,search_ranking,Senior NLP Engineer,7.8,Niramai,"Indore, Madhya Pradesh",True,22,0.890,15,False,1.4400,2.0721,1.6800,2.1875,2.4750,0.6000,Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost) → behavioral-signal integration. | TensorFlow assessment 78.1/100,,
3,CAND_0046525,530.004000,senior_relevance_owner,5,relevance_ownership,Senior Machine Learning Engineer,6.1,Genpact AI,"Pune, Maharashtra",True,9,0.880,60,True,1.2602,2.9200,3.1749,3.0988,3.6408,2.2500,Led the migration from keyword-based to embedding-based search across a 30M+ candidate corpus over 8 months. | Machine Learning assessment 86.7/100,,
4,CAND_0055905,529.996000,senior_relevance_owner,5,hybrid_retrieval,Senior Machine Learning Engineer,8.1,Flipkart,London,True,15,0.870,30,False,2.2602,1.5000,3.7607,4.6227,3.6408,1.6500,Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items. | Elasticsearch assessment 83.0/100,,
5,CAND_0088025,529.964000,senior_relevance_owner,5,search_ranking,Staff Machine Learning Engineer,8.6,Yellow.ai,"Jaipur, Rajasthan",True,18,0.830,90,False,1.9200,3.7521,2.1602,1.5002,3.3158,1.5000,Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost) → behavioral-signal integration. | Pinecone assessment 93.6/100,90-day notice period,weak:repeated_role_description
6,CAND_0005538,529.948000,senior_relevance_owner,5,relevance_ownership,Senior AI Engineer,5.9,Adobe,"Kolkata, West Bengal",True,15,0.810,90,False,1.7214,1.1600,0.5800,3.4966,2.3446,1.0500,"Most of the technical effort went into the boring-but-essential parts: index refresh, query understanding, ranking calibration, and the dashboards that made the system's behavior legible to product and business teams. | Embeddings assessment 92.9/100",90-day notice period,weak:skill_duration_overrun | weak:repeated_role_description
7,CAND_0039754,529.948000,senior_relevance_owner,5,search_ranking,Senior Applied Scientist,16.2,Meta,"Indore, Madhya Pradesh",True,18,0.810,30,True,2.3446,3.6521,3.2208,2.3205,3.5355,2.2500,Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost) → behavioral-signal integration. | NLP assessment 80.5/100,,
8,CAND_0002025,529.940000,senior_relevance_owner,5,search_ranking,Senior AI Engineer,5.9,Apple,"Trivandrum, Kerala",True,6,0.800,30,False,0.3400,2.8600,1.3400,3.2175,2.4750,0.4500,"Built and shipped a production recommendation system at a marketplace product, going from offline experimentation to live A/B test in 5 months.",,weak:skill_duration_overrun
9,CAND_0071974,529.908000,senior_relevance_owner,5,search_ranking,Senior AI Engineer,7.8,Netflix,"Vizag, Andhra Pradesh",True,46,0.760,45,False,1.4400,3.3321,1.9200,2.6947,2.7153,3.0000,Owned the end-to-end ranking pipeline at a recommendations-heavy consumer product: candidate sourcing → embedding generation (using a fine-tuned BGE-large) → Pinecone retrieval → learning-to-rank re-scoring (XGBoost) → behavioral-signal integration. | Learning to Rank assessment 77.2/100,,
10,CAND_0081846,529.884000,senior_relevance_owner,5,search_ranking,Lead AI Engineer,6.7,Razorpay,"Jaipur, Rajasthan",True,29,0.730,30,True,2.4756,2.4814,4.0903,3.9466,3.6408,2.4000,Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. | Information Retrieval assessment 64.8/100,,weak:skill_duration_overrun
11,CAND_0008425,529.828000,senior_relevance_owner,5,hybrid_retrieval,Senior NLP Engineer,7.8,Ola,"Kolkata, West Bengal",True,37,0.660,90,False,2.0614,1.4860,3.0608,4.9243,3.4854,1.9500,Owned the design and rollout of a large-scale semantic search system serving an internal corpus of 35M+ items. | Learning to Rank assessment 77.8/100,90-day notice period,
12,CAND_0018499,529.788000,senior_relevance_owner,5,search_ranking,Senior Machine Learning Engineer,7.2,Zomato,"Noida, Uttar Pradesh",True,19,0.610,15,True,2.6745,4.0614,4.2102,3.7090,3.6408,2.4000,Built a RAG-based ranking pipeline serving 50M+ queries per month for an internal recruiter-facing search product. | Weaviate assessment 72.4/100,,weak:repeated_role_description
